Ticker EPS Growth P/E Fair Moving50 Moving200
ABT 1.891 0.1328 58.609203 104.34675419318162 108.22813 104.824524
ABBV 4.572 0.1097 23.856802 94.56913803017825 105.093124 95.5827
ATVI 2.849 0.24379998 31.934013 124.49639260861464 85.48125 81.345764
ADBE 10.83 0.1667 44.16205 506.66757498075435 486.22 473.0941
AMD 0.738 0.3822 133.9702 206.32733117595475 92.26281 79.8908
GOOGL 51.752 0.1681 34.269787 1887.8491015364384 1763.9962 1602.801
GOOG 51.752 0.1681 34.42901 1896.6203552793909 1769.3165 1606.1979
AMZN 34.202 0.3635 92.0259 6220.005716427623 3187.6182 3159.341
AME 3.78 -0.012 32.91799 67.78935874946482 118.79219 104.78591
AMGN 12.399 0.067 19.270102 177.0667392809346 227.14125 238.73306
APH 3.79 0.078 35.66491 104.36719811572353 131.15718 114.28197
ADI 3.28 0.114700004 48.3872 140.10220960402376 143.64188 125.668175
ANSS 4.399 0.0639 84.651054 272.77100640058524 347.04752 324.22293
ANTM 19.366 0.137 17.479605 323.4610851417832 315.7481 288.58694
AAPL 3.28 0.1272 39.573174 119.80840523353902 125.97094 114.544785
AMAT 3.92 0.159 24.917091 100.7687306080931 86.79656 68.46401
ANET 8.938 0.066 33.936565 223.94722706871258 281.5919 237.86058
T 1.52 -0.0174 18.973618 15.371258220813658 29.439062 29.10511
ADSK 1.928 0.3491 164.85477 601.9962072460183 289.7831 252.19168
ADP 5.761 0.1107 29.36209 147.1907664656206 173.9228 152.64503
AVGO 6.328 0.079 70.68268 346.6361844657052 418.7025 363.47723
CDNS 3.857 0.154 35.23334 137.79559280100048 125.06593 111.62504
CDW 5.07 0.0987 26.416172 111.58427080018109 131.5922 122.638756
CSCO 2.47 0.0614 18.601213 33.3398154005899 44.188126 42.528976
CTXS 4.678 0.107 28.133818 113.0024899969624 128.68657 135.04613
CTSH 2.698 0.0251 29.903633 50.93771651259354 79.88406 70.52467
GLW 0.255 0.04 145.84314 24.875291706533925 36.716564 33.102337
DXC -15.199 -0.0945 8.06356 -47.109044322824765 24.160313 19.966059
FISV 1.316 0.1752 88.1383 126.49586484276573 114.23563 103.85102
FLT 8.31 0.0871 32.80385 217.6769595439693 270.49844 252.44716
FLIR 1.042 0.064 50.748558 38.749542188276166 43.34875 38.922993
IT 2.372 0.117 70.4841 148.8083065530742 156.95 136.14424
INTC 5.109 0.0794 10.170287 40.32806689595059 49.253124 50.67168
INTU 7.446 0.1079 50.409615 323.33096653888214 367.33655 332.14532
MA 6.663 0.103999995 52.756268 298.55806225219783 340.22562 328.65796
MXIM 2.531 0.1571 37.75188 97.93162072648813 86.054375 73.53883
MCHP 2.336 0.123 63.077915 133.99167977253651 138.78906 115.00854
MU 2.651 0.1838 29.917011 89.05327795092442 71.096565 55.037956
MSFT 6.199 0.1455 35.23633 215.03112035500385 217.1275 212.32169
NVDA 6.117 0.2204 90.56236 702.5927214920393 528.3663 497.70096
ORCL 3.306 0.109 19.2196 54.951811961754004 61.573437 58.24861
QRVO 3.794 0.1575 48.38711 188.4168104990454 162.07907 136.15836
QCOM 4.52 0.24180001 34.858406 214.22060095203452 149.99 123.148834
REGN 27.286 0.1114 18.143555 431.8694352415326 493.9128 571.0569
CRM 3.858 0.1769 57.16174 241.89926763408624 228.38844 229.29744
STX 3.917 0.044899996 15.090631 40.287333155235295 62.095314 51.78606
NOW 3.474 0.2674 151.48532 776.3611819155578 535.9197 482.2132
SWKS 4.8 0.1245 34.004166 149.2175285732572 148.09344 142.82861
SNPS 4.27 0.115 61.487118 232.01716751673032 243.06563 217.8092
TER 3.909 0.2347 34.586006 179.6472254172191 117.41156 94.34489
TXN 5.283 0.1 32.55726 143.98187925605075 162.6575 145.8284
TYL 4.547 0.1 95.396965 363.110570238217 434.79498 380.1071
VRSN 6.932 0.08 29.049335 156.63846173769707 208.00468 205.53029
XLNX 2.448 0.09 63.06781 124.60451938746856 144.12843 116.74292
ZBRA 8.761 0.1 47.30168 346.9042538050211 379.2444 304.67102
